epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.251,2.05961,3.24381,1.04483,0.1138,0.54737,0.23031,0.10216,2.02371,3.17482,1.13288,0.067375,0.000329545,0.000329545
2,378.66,1.92309,1.7285,1.05219,0.32874,0.38512,0.25608,0.10976,1.92914,3.38053,1.09459,0.0343531,0.000641004,0.000641004
3,564.685,1.79048,1.45982,1.04847,0.48857,0.49202,0.45596,0.19897,1.90525,1.55926,1.09211,0.00130925,0.000930462,0.000930462
4,746.02,1.77211,1.29166,1.02873,0.45368,0.48245,0.45779,0.22468,1.71369,1.44293,1.03005,0.000901,0.000901,0.000901
5,928.074,1.69863,1.19987,1.01701,0.52865,0.51853,0.52102,0.26006,1.76468,1.25729,1.0571,0.000868,0.000868,0.000868
6,1110.86,1.69245,1.12054,1.01503,0.63673,0.51784,0.55275,0.25692,1.80167,1.2118,1.05071,0.000835,0.000835,0.000835
7,1294.34,1.66867,1.05314,0.99099,0.58786,0.5337,0.56506,0.27908,1.76452,1.19313,1.03476,0.000802,0.000802,0.000802
8,1475.51,1.67837,1.05997,0.97577,0.58944,0.61282,0.59752,0.28119,1.71357,1.13239,0.99969,0.000769,0.000769,0.000769
9,1658.44,1.6428,1.02058,0.99273,0.67705,0.59444,0.6048,0.2972,1.67716,1.19833,1.0084,0.000736,0.000736,0.000736
10,1838.61,1.59516,0.96847,0.96832,0.69697,0.61952,0.63205,0.31904,1.61593,1.07958,0.98017,0.000703,0.000703,0.000703
11,2019.08,1.5399,0.95864,0.96216,0.69676,0.61649,0.64819,0.32812,1.63201,1.08897,0.97833,0.00067,0.00067,0.00067
12,2200.75,1.55925,0.90453,0.95147,0.70834,0.65187,0.66838,0.34014,1.59796,1.07406,0.97252,0.000637,0.000637,0.000637
13,2383.14,1.50192,0.89326,0.94908,0.67996,0.63021,0.6358,0.32125,1.61776,1.0876,0.96899,0.000604,0.000604,0.000604
14,2563.41,1.50693,0.87984,0.95422,0.79774,0.60339,0.66366,0.33032,1.62668,1.01666,0.98548,0.000571,0.000571,0.000571
15,2744.75,1.47766,0.86656,0.94438,0.70614,0.65371,0.67054,0.34933,1.61113,1.01065,0.98418,0.000538,0.000538,0.000538
16,2926.83,1.48465,0.84389,0.948,0.68194,0.66349,0.66977,0.3556,1.54998,0.9566,0.95986,0.000505,0.000505,0.000505
17,3107.91,1.46733,0.83585,0.93702,0.75638,0.69418,0.7315,0.38785,1.56892,0.89761,0.96464,0.000472,0.000472,0.000472
18,3290.97,1.4161,0.78669,0.92799,0.81632,0.67998,0.7515,0.38725,1.58905,0.92493,0.97825,0.000439,0.000439,0.000439
19,3475.87,1.45979,0.80273,0.9331,0.70421,0.70159,0.69488,0.34504,1.58971,0.98933,0.9684,0.000406,0.000406,0.000406
20,3668.66,1.35575,0.76625,0.91331,0.80548,0.68607,0.73596,0.40207,1.5245,0.87741,0.95664,0.000373,0.000373,0.000373
21,3854.66,1.35368,0.73942,0.91526,0.71141,0.71974,0.73485,0.40001,1.57262,0.90577,0.96624,0.00034,0.00034,0.00034
22,4035.88,1.34183,0.71389,0.92507,0.76373,0.6708,0.70752,0.38014,1.57274,0.92954,0.96679,0.000307,0.000307,0.000307
23,4217.03,1.30781,0.69845,0.91753,0.76432,0.68301,0.73457,0.40448,1.5,0.89079,0.9523,0.000274,0.000274,0.000274
24,4400.45,1.29169,0.67883,0.90061,0.80215,0.64662,0.71747,0.39583,1.57457,0.92119,0.96756,0.000241,0.000241,0.000241
25,4578.83,1.25868,0.6618,0.89769,0.79993,0.67068,0.73383,0.4036,1.52992,0.86941,0.96055,0.000208,0.000208,0.000208
26,4757.81,1.24831,0.66577,0.89445,0.85296,0.66794,0.73946,0.39339,1.58031,0.85873,0.98053,0.000175,0.000175,0.000175
27,4936.65,1.23839,0.64245,0.89338,0.72838,0.73429,0.73927,0.40742,1.50808,0.85794,0.95353,0.000142,0.000142,0.000142
28,5115.47,1.21626,0.63007,0.887,0.75729,0.69193,0.74775,0.41996,1.50685,0.84329,0.95959,0.000109,0.000109,0.000109
29,5293.62,1.20502,0.62034,0.87382,0.75543,0.69106,0.73436,0.41204,1.50855,0.85835,0.95744,7.6e-05,7.6e-05,7.6e-05
30,5471.89,1.16921,0.61382,0.87799,0.74354,0.69552,0.7388,0.41715,1.49997,0.84137,0.95942,4.3e-05,4.3e-05,4.3e-05
